City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Husavik,IS,2022-05-14 08:23:59,66.0449,-17.3389,33.66,88,62,5.73
68,Tasiilaq,GL,2022-05-14 08:24:00,65.6145,-37.6368,24.96,69,98,4.85
69,Gamboula,CF,2022-05-14 08:24:00,4.1178,15.1393,80.73,66,59,3.53
70,Ribeira Grande,PT,2022-05-14 08:24:01,38.5167,-28.7,61.2,72,75,11.5
71,Prescot,GB,2022-05-14 08:24:01,53.4295,-2.8003,59.7,76,40,6.91
72,Boyolangu,ID,2022-05-14 08:24:02,-8.1181,111.8935,84.92,73,53,6.51
73,San Carlos De Bariloche,AR,2022-05-14 08:20:28,-41.1456,-71.3082,28.15,93,40,3.44
74,Columbus,US,2022-05-14 08:20:43,39.9612,-82.9988,64.92,88,75,5.75
75,Nome,US,2022-05-14 08:24:02,64.5011,-165.4064,32.07,80,0,8.05
76,Pacific Grove,US,2022-05-14 08:22:00,36.6177,-121.9166,55.08,90,20,7.0
77,Cap Malheureux,MU,2022-05-14 08:24:03,-19.9842,57.6142,81.46,58,14,7.0
78,Nikolskoye,RU,2022-05-14 08:24:04,59.7035,30.7861,57.09,41,19,10.09
79,Dharampur,IN,2022-05-14 08:20:07,20.5333,73.1833,98.65,31,4,13.0
80,Agadir,MA,2022-05-14 08:23:43,30.4202,-9.5982,72.05,58,13,1.61
81,Urucara,BR,2022-05-14 08:24:04,-2.5364,-57.76,72.45,99,35,2.64
82,Nishihara,JP,2022-05-14 08:24:05,26.1842,127.7558,75.25,94,100,11.5
83,Hilo,US,2022-05-14 08:24:05,19.7297,-155.09,72.25,89,100,6.91
84,Port Alfred,ZA,2022-05-14 08:24:05,-33.5906,26.891,67.17,62,21,5.99
85,Vardo,NO,2022-05-14 08:24:06,70.3705,31.1107,40.98,70,100,6.91
86,Atuona,PF,2022-05-14 08:24:06,-9.8,-139.0333,78.53,75,95,18.54
87,Cockburn Town,TC,2022-05-14 08:24:07,21.4612,-71.1419,78.96,85,100,23.85
88,Atherton,GB,2022-05-14 08:19:55,53.5237,-2.4935,59.9,75,35,1.99
89,Zhangye,CN,2022-05-14 08:24:08,38.9342,100.4517,60.91,23,100,10.4
90,Kayan,MM,2022-05-14 08:24:08,16.9056,96.5631,78.94,57,94,9.44
91,Lyngseidet,NO,2022-05-14 08:24:09,69.5763,20.2189,41.0,96,100,5.53
92,Constitucion,CL,2022-05-14 08:24:09,-35.3333,-72.4167,49.77,58,100,5.59
93,Ixtapa,MX,2022-05-14 08:24:10,20.7,-105.2,77.23,83,20,0.0
94,Lago Da Pedra,BR,2022-05-14 08:24:10,-4.3333,-45.1667,72.37,98,93,2.33
95,Mar Del Plata,AR,2022-05-14 08:24:10,-38.0023,-57.5575,46.94,76,0,4.0
96,Henties Bay,NA,2022-05-14 08:24:11,-22.116,14.2845,60.06,74,0,6.89
97,Adrar,MR,2022-05-14 08:24:11,20.5022,-10.0711,84.96,12,79,10.96
98,Bambanglipuro,ID,2022-05-14 08:24:12,-7.95,110.2833,85.08,74,56,7.05
99,Lavrentiya,RU,2022-05-14 08:24:12,65.5833,-171.0,26.74,83,100,3.49
100,Kikwit,CD,2022-05-14 08:24:12,-5.041,18.8162,81.52,67,82,2.59
101,Okha,RU,2022-05-14 08:24:13,53.5739,142.9478,33.42,98,100,8.52
102,Bathsheba,BB,2022-05-14 08:24:13,13.2167,-59.5167,81.21,74,75,17.27
103,Ahar,IR,2022-05-14 08:24:14,38.4774,47.0699,63.5,29,0,2.64
104,Chikwawa,MW,2022-05-14 08:24:14,-16.0335,34.8009,80.82,50,0,2.06
105,Agadez,NE,2022-05-14 08:24:15,19.75,10.25,82.87,15,0,14.88
106,Los Llanos De Aridane,ES,2022-05-14 08:24:15,28.6585,-17.9182,65.95,86,75,5.01
107,Abonnema,NG,2022-05-14 08:24:15,4.7084,6.7931,82.38,79,100,0.94
108,Huilong,CN,2022-05-14 08:24:16,31.8111,121.655,64.85,47,97,11.03
109,Prince Rupert,CA,2022-05-14 08:24:16,54.3161,-130.3201,44.29,80,100,26.46
110,Brisbane,AU,2022-05-14 08:23:03,-27.4679,153.0281,71.24,96,100,9.22
111,Kutum,SD,2022-05-14 08:24:17,14.2,24.6667,90.99,23,7,10.13
112,Ca Mau,VN,2022-05-14 08:24:12,9.1769,105.15,89.01,61,100,6.58
113,Padang,ID,2022-05-14 08:24:17,-0.9492,100.3543,87.85,66,35,5.35
114,Smithers,CA,2022-05-14 08:20:08,54.7804,-127.1743,39.52,70,100,2.3
115,Morgan City,US,2022-05-14 08:24:18,29.6994,-91.2068,66.99,86,100,3.2
116,Acapulco,MX,2022-05-14 08:24:18,16.8634,-99.8901,84.02,79,75,3.44
117,Keita,NE,2022-05-14 08:24:19,14.7551,5.7749,94.46,9,5,20.45
118,Grenville,GD,2022-05-14 08:21:59,12.1167,-61.6167,80.65,75,89,18.21
119,Saucillo,MX,2022-05-14 08:24:19,28.0167,-105.2833,69.28,49,46,3.62
120,Karatau,KZ,2022-05-14 08:24:20,43.1667,70.4667,70.41,49,99,9.78
121,California City,US,2022-05-14 08:24:20,35.1258,-117.9859,65.61,31,0,18.41
122,Tuatapere,NZ,2022-05-14 08:24:21,-46.1333,167.6833,50.41,88,100,2.3
