City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Carora,VE,10.1755,-70.0827,79.63,63,98,8.66,overcast clouds
80,Constitucion,CL,-35.3333,-72.4167,51.31,56,0,5.79,clear sky
81,Bredasdorp,ZA,-34.5322,20.0403,51.21,89,0,2.89,clear sky
82,Garhi Khairo,PK,28.0606,67.9803,99.88,10,0,1.68,clear sky
83,Monching,PH,7.7158,122.8664,83.59,76,95,6.76,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,44.8,92,80,4.97,broken clouds
85,Fairbanks,US,64.8378,-147.7164,48.54,72,75,8.05,shower rain
86,Kalmunai,LK,7.4167,81.8167,81.28,75,100,0.94,overcast clouds
87,Seguin,US,29.5688,-97.9647,86.92,63,0,13.8,clear sky
88,Anloga,GH,5.7947,0.8973,81.73,80,25,7.63,scattered clouds
89,Alacranes,CU,22.7675,-81.5675,75.69,79,29,4.34,scattered clouds
90,Pacific Grove,US,36.6177,-121.9166,67.33,74,0,11.5,clear sky
91,Talnakh,RU,69.4865,88.3972,36.45,100,100,6.69,overcast clouds
92,Faya,SA,18.3851,42.4509,64.51,20,0,7.2,clear sky
93,Hamilton,US,39.1834,-84.5333,65.59,94,20,10.36,few clouds
94,Mount Darwin,ZW,-16.7725,31.5838,53.44,77,0,1.52,clear sky
95,Katsuura,JP,35.1333,140.3,62.4,78,100,18.77,overcast clouds
96,Calvinia,ZA,-31.4707,19.776,46.56,64,0,7.94,clear sky
97,Adrar,MR,20.5022,-10.0711,82.98,12,91,8.97,overcast clouds
98,Yumen,CN,40.2833,97.2,63.43,12,0,14.61,clear sky
99,Albany,US,42.6001,-73.9662,71.17,78,100,4.81,overcast clouds
100,Berberati,CF,4.2612,15.7922,68.29,94,61,0.83,broken clouds
101,Sibolga,ID,1.7427,98.7792,86.0,64,79,3.24,broken clouds
102,Hvide Sande,DK,56.0045,8.1294,49.08,86,22,8.28,few clouds
103,Carnarvon,AU,-24.8667,113.6333,69.22,38,0,16.87,clear sky
104,Chapais,CA,49.7834,-74.8492,60.58,86,100,9.08,overcast clouds
105,Tete,MZ,-16.1564,33.5867,61.99,91,0,2.37,clear sky
106,Upernavik,GL,72.7868,-56.1549,6.71,92,13,4.23,few clouds
107,Jingdezhen,CN,29.2947,117.2079,64.26,78,100,3.89,light rain
108,Barrow,US,71.2906,-156.7887,30.22,86,0,19.57,clear sky
109,Arman,RU,59.7,150.1667,41.54,88,100,13.87,light rain
110,Steinbach,DE,50.1667,8.5667,56.3,62,0,5.75,clear sky
111,Bethel,US,41.3712,-73.414,66.36,88,75,1.99,broken clouds
112,Dunedin,NZ,-45.8742,170.5036,51.8,84,80,5.01,broken clouds
113,Fayetteville,US,35.0527,-78.8784,71.82,87,0,4.61,clear sky
114,Avera,US,33.194,-82.5271,67.55,59,100,4.27,overcast clouds
115,Tromso,NO,69.6496,18.957,41.02,93,40,4.61,light rain
116,Wageningen,NL,51.9667,5.6667,53.94,80,74,8.05,broken clouds
117,Mandalgovi,MN,45.7625,106.2708,57.63,15,0,11.81,clear sky
118,Nouadhibou,MR,20.931,-17.0347,73.38,60,100,20.71,overcast clouds
119,New Norfolk,AU,-42.7826,147.0587,68.92,53,51,4.0,broken clouds
120,Port Alfred,ZA,-33.5906,26.891,59.0,80,0,4.34,clear sky
121,Gararu,BR,-9.9675,-37.0833,72.19,95,40,1.86,scattered clouds
122,Buy,RU,58.4786,41.53,43.65,94,99,7.16,overcast clouds
123,Ludhiana,IN,30.9,75.85,97.02,30,0,9.46,clear sky
124,Kamenka,RU,51.3223,42.7678,49.66,98,100,4.9,moderate rain
125,Komsomolskiy,UZ,40.4272,71.7189,57.92,88,40,6.91,mist
126,Ketchikan,US,55.3422,-131.6461,47.73,75,89,3.78,overcast clouds
127,Lukoyanov,RU,55.0277,44.4786,45.23,87,92,6.06,overcast clouds
128,Solnechnyy,RU,50.7214,136.6319,48.09,51,100,8.72,overcast clouds
129,Munsingen,DE,48.4113,9.497,47.21,74,39,3.87,scattered clouds
130,Poya,NC,-21.35,165.15,78.37,68,91,4.76,overcast clouds
131,Birjand,IR,32.8663,59.2211,54.07,40,0,0.0,clear sky
132,Fort Nelson,CA,58.8053,-122.7002,47.79,66,75,4.61,broken clouds
133,Knysna,ZA,-34.0363,23.0471,54.93,75,0,4.05,clear sky
134,Pevek,RU,69.7008,170.3133,28.6,91,100,17.22,overcast clouds
135,Yantal,RU,56.8471,105.2542,70.7,23,34,2.46,scattered clouds
136,Kalemie,CD,-5.9475,29.1947,69.39,82,24,2.04,few clouds
137,Atuona,PF,-9.8,-139.0333,78.31,79,10,17.45,light rain
138,Vagur,FO,61.4732,-6.8119,47.17,91,100,10.07,overcast clouds
139,Jeremie,HT,18.65,-74.1167,79.11,77,100,4.38,overcast clouds
140,Avarua,CK,-21.2078,-159.775,78.85,69,75,10.36,broken clouds
141,Puerto Escondido,MX,15.85,-97.0667,85.03,70,20,6.91,few clouds
142,Lagoa,PT,39.05,-27.9833,58.53,66,66,29.42,broken clouds
143,Oga,IT,46.4631,10.347,50.68,90,61,0.72,broken clouds
144,Pizarro,CO,4.9533,-77.366,77.27,90,100,1.52,moderate rain
145,Havelock,US,34.8791,-76.9013,71.55,95,40,4.61,scattered clouds
146,Cidreira,BR,-30.1811,-50.2056,63.25,94,100,2.98,overcast clouds
147,Preston,GB,53.7667,-2.7167,59.68,76,100,7.34,overcast clouds
148,Bose,IT,45.4612,8.0137,65.79,81,100,3.0,overcast clouds
149,Mirabad,AF,30.4362,61.8383,68.99,31,0,27.54,clear sky
150,Torbay,CA,47.6666,-52.7314,32.27,91,0,6.91,clear sky
151,Tiksi,RU,71.6872,128.8694,19.24,88,17,7.61,few clouds
152,Chabahar,IR,25.2919,60.643,83.25,64,0,6.15,clear sky
153,El Dorado,US,38.7666,-120.5177,77.58,64,0,3.6,clear sky
154,Nemuro,JP,43.3236,145.575,46.71,81,91,14.29,overcast clouds
155,Souillac,MU,-20.5167,57.5167,73.78,83,40,8.05,scattered clouds
156,Miragoane,HT,18.4423,-73.0876,79.5,74,99,4.34,overcast clouds
157,Kannangad,IN,12.3081,75.1063,79.68,84,100,3.89,overcast clouds
158,Cheltenham,GB,51.9,-2.0833,55.65,79,98,5.01,light rain
159,San Quintin,MX,30.4833,-115.95,63.45,74,0,6.2,clear sky
160,Sur,OM,22.5667,59.5289,85.01,58,0,8.75,clear sky
161,Onguday,RU,50.75,86.15,67.53,30,92,4.0,overcast clouds
162,Turayf,SA,31.6725,38.6637,70.05,28,0,17.27,clear sky
163,Longyearbyen,SJ,78.2186,15.6401,26.44,80,75,3.44,broken clouds
164,Qatana,SY,33.4354,36.0815,66.63,43,64,8.59,broken clouds
165,Ilulissat,GL,69.2167,-51.1,5.32,87,20,7.78,few clouds
166,Klaksvik,FO,62.2266,-6.589,49.12,91,97,7.74,overcast clouds
167,Saint George,US,37.1041,-113.5841,91.99,6,0,9.22,clear sky
168,Port Blair,IN,11.6667,92.75,78.84,94,75,8.05,broken clouds
169,Lasa,IT,46.6166,10.7002,50.68,90,31,2.26,scattered clouds
170,Tasiilaq,GL,65.6145,-37.6368,26.76,73,100,4.0,overcast clouds
171,Chokurdakh,RU,70.6333,147.9167,21.43,84,100,1.57,overcast clouds
172,Bulungu,CD,-4.55,18.6,69.26,93,82,1.01,broken clouds
173,Clemencia,CO,10.5665,-75.325,83.57,82,80,3.74,broken clouds
174,Georgetown,MY,5.4112,100.3354,85.95,83,20,2.3,light rain
175,Horconcitos,PA,8.4682,-81.8007,69.51,98,100,0.85,overcast clouds
176,Marmande,FR,44.5,0.1667,62.91,87,92,5.53,overcast clouds
177,Campestre,BR,-21.7111,-46.2464,57.65,90,30,2.57,scattered clouds
178,Atar,MR,20.5169,-13.0499,87.93,13,88,8.12,overcast clouds
179,Provideniya,RU,64.3833,-173.3,36.28,92,100,8.97,overcast clouds
180,Caravelas,BR,-17.7125,-39.2481,74.25,74,99,7.92,overcast clouds
181,Namibe,AO,-15.1961,12.1522,70.97,65,0,3.49,clear sky
182,Puerto Madryn,AR,-42.7692,-65.0385,48.11,46,0,18.66,clear sky
183,Quatre Cocos,MU,-20.2078,57.7625,73.51,80,5,11.7,clear sky
184,Malpe,IN,13.35,74.7167,83.5,70,99,8.84,overcast clouds
185,Vardo,NO,70.3705,31.1107,37.38,100,100,4.61,overcast clouds
186,Junagarh,IN,19.8667,82.9333,97.57,39,68,6.89,broken clouds
187,Dalfsen,NL,52.5,6.25,53.19,90,39,6.8,scattered clouds
188,Lhokseumawe,ID,5.1801,97.1507,85.15,74,96,0.78,overcast clouds
189,Belaya Gora,RU,68.5333,146.4167,26.8,81,100,7.14,overcast clouds
190,Ilo,PE,-17.6394,-71.3375,63.95,83,32,6.38,scattered clouds
191,Khatanga,RU,71.9667,102.5,33.96,100,100,11.77,overcast clouds
192,Sanand,IN,22.9833,72.3833,88.02,50,0,9.73,clear sky
