City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Chabahar,IR,83.25,clear sky,25.2919,60.643,هتل گدروشیا
153,El Dorado,US,77.58,clear sky,38.7666,-120.5177,South Fork Group Campground
155,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
156,Miragoane,HT,79.5,overcast clouds,18.4423,-73.0876,Wj hotel
157,Kannangad,IN,79.68,overcast clouds,12.3081,75.1063,Hotel Landmark
159,San Quintin,MX,63.45,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
160,Sur,OM,85.01,clear sky,22.5667,59.5289,Sur Plaza Hotel
161,Onguday,RU,67.53,overcast clouds,50.75,86.15,Barskaya Usad'ba
162,Turayf,SA,70.05,clear sky,31.6725,38.6637,Turaif
164,Qatana,SY,66.63,broken clouds,33.4354,36.0815,جورج العين
168,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
173,Clemencia,CO,83.57,broken clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
174,Georgetown,MY,85.95,light rain,5.4112,100.3354,Cititel Penang
175,Horconcitos,PA,69.51,overcast clouds,8.4682,-81.8007,KAFETE S.A
176,Marmande,FR,62.91,overcast clouds,44.5,0.1667,Hôtel Restaurant Campanile Marmande
178,Atar,MR,87.93,overcast clouds,20.5169,-13.0499,Oumou Elghoura
180,Caravelas,BR,74.25,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
181,Namibe,AO,70.97,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
183,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
184,Malpe,IN,83.5,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
188,Lhokseumawe,ID,85.15,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
190,Ilo,PE,63.95,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
192,Sanand,IN,88.02,clear sky,22.9833,72.3833,OYO Flagship 22887 Hotel Prerna Narmada Vasahat
195,Kumphawapi,TH,89.89,broken clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
196,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
197,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
198,Tervel,BG,61.23,overcast clouds,43.75,27.4,Хотели Тервел - Хотел Алгара
200,Betulia,CO,63.37,overcast clouds,6.1128,-75.9838,hotel panorama betulia
206,Charters Towers,AU,79.07,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
209,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
216,Kieta,PG,83.62,light rain,-6.2167,155.6333,Uruna Bay Retreat
223,Zwedru,LR,72.21,light rain,6.0667,-8.1281,Elijah Worjloh
224,Alta Floresta,BR,75.72,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
225,Sumbe,AO,74.57,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
226,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
228,Kudahuvadhoo,MV,83.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
229,Meulaboh,ID,78.53,overcast clouds,4.1363,96.1285,Kost Pria
230,Djenne,ML,83.93,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
232,Quelimane,MZ,66.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
237,Andros Town,BS,78.76,broken clouds,24.7,-77.7667,Hanks place
238,Sorong,ID,83.77,broken clouds,-0.8833,131.25,Waigo Splash Hotel
239,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
240,Koumra,TD,78.82,overcast clouds,8.9126,17.5539,Yamtoide house koumra
241,Hasaki,JP,64.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
244,Road Town,VG,78.89,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
245,Arraial Do Cabo,BR,72.57,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
246,Doka,SD,85.3,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
247,Korla,CN,73.49,few clouds,41.7597,86.1469,Gulisitan Hotel
251,Altay,CN,69.37,broken clouds,47.8667,88.1167,Jinqiao Hotel
253,Waingapu,ID,85.28,clear sky,-9.6567,120.2641,Pondok Wisata Elim
254,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
255,San Policarpo,PH,84.22,moderate rain,12.1791,125.5072,Agapita M. Nicart
261,Poso,ID,86.04,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
266,Naze,JP,67.12,light rain,28.3667,129.4833,Shishime Hotel
267,Vanimo,PG,85.62,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
268,Fairhope,US,77.68,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
269,Koungou,YT,78.51,scattered clouds,-12.7336,45.2042,Villa Netibor
273,Kavieng,PG,84.96,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
274,Mackay,AU,86.68,clear sky,-21.15,149.2,International Lodge Motel
276,Champerico,GT,84.49,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
277,Isangel,VU,78.12,broken clouds,-19.55,169.2667,Tanna Lodge
278,Kaseda,JP,65.3,light rain,31.4167,130.3167,Sun Stay Kaseda
279,Vao,NC,73.71,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
281,Sao Filipe,CV,75.99,broken clouds,14.8961,-24.4956,Hotel Xaguate
282,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
285,Merrill,US,67.77,scattered clouds,45.1805,-89.6835,Prairie Motel
286,Yaring,TH,83.28,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
287,Elk Point,US,65.08,overcast clouds,42.6833,-96.6836,Hometowne Inn
289,Dingle,PH,88.12,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
290,Mitsamiouli,KM,79.61,clear sky,-11.3847,43.2844,Foyer ADM
292,Pulandian,CN,68.61,clear sky,39.3953,121.9669,HR East Hotel
293,Matagami,CA,68.11,clear sky,49.7502,-77.6328,Motel Le Caribou
294,Vnanje Gorice,SI,61.79,clear sky,46.0072,14.4219,Hotel Pok
295,Irbeyskoye,RU,73.99,overcast clouds,55.6428,95.4522,"Gostinitsa ""Agul"""
296,Ribeira Grande,PT,60.24,broken clouds,38.5167,-28.7,Quinta da Meia Eira
297,Bubaque,GW,78.4,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
300,Kloulklubed,PW,81.1,few clouds,7.0419,134.2556,Storyboard Beach Resort
301,Matay,EG,67.14,scattered clouds,28.419,30.7792,Nag Aespen
303,Itarema,BR,77.95,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
304,Pimentel,PE,64.44,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
305,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
306,Arlit,NE,82.18,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
307,Danville,US,65.34,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
308,Gwadar,PK,83.55,clear sky,25.1216,62.3254,Sadaf Resort
312,Shieli,KZ,70.34,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
